Date;GE;VD;ZH
2020-02-25;0;;
2020-02-26;0;;
2020-02-27;0;;
2020-02-28;0;;
2020-02-29;0;;
2020-03-01;0;;
2020-03-02;0;;
2020-03-03;0;;
2020-03-04;0;;
2020-03-05;0;;
2020-03-06;0;1;
2020-03-07;0;1;
2020-03-08;0;1;
2020-03-09;0;1;
2020-03-10;1;1;
2020-03-11;1;1;
2020-03-12;2;3;
2020-03-13;2;3;
2020-03-14;2;5;
2020-03-15;4;6;1
2020-03-16;4;9;1
2020-03-17;5;11;1
2020-03-18;6;14;2
2020-03-19;7;15;3
2020-03-20;9;21;4
2020-03-21;9;24;5
2020-03-22;10;26;6
2020-03-23;15;30;6
2020-03-24;16;34;8
2020-03-25;23;42;10
2020-03-26;25;59;13
2020-03-27;32;63;15
2020-03-28;40;74;19
2020-03-29;48;84;22
2020-03-30;58;97;24
2020-03-31;68;110;27
2020-04-01;77;121;36
2020-04-02;85;143;39
2020-04-03;92;162;41
2020-04-04;106;175;48
2020-04-05;113;188;52
2020-04-06;125;204;54
2020-04-07;136;216;56
2020-04-08;150;228;64
2020-04-09;159;242;66
2020-04-10;170;250;71
2020-04-11;179;256;77
2020-04-12;187;265;79
2020-04-13;191;273;83
2020-04-14;196;284;87
2020-04-15;203;301;91
2020-04-16;211;314;95
2020-04-17;217;322;100
2020-04-18;221;330;105
2020-04-19;225;336;105
2020-04-20;228;347;107
2020-04-21;234;356;109
2020-04-22;242;361;110
2020-04-23;247;371;113
2020-04-24;253;374;114
2020-04-25;255;384;115
2020-04-26;257;389;115
2020-04-27;259;393;119
2020-04-28;261;400;119
2020-04-29;262;401;121
2020-04-30;265;403;123
2020-05-01;268;408;123
2020-05-02;271;412;123
2020-05-03;272;414;123
2020-05-04;274;414;123
2020-05-05;275;415;124
2020-05-06;276;415;125
2020-05-07;281;416;125
2020-05-08;281;417;125
2020-05-09;283;417;126
2020-05-10;285;420;126
2020-05-11;285;420;126
2020-05-12;286;420;126
2020-05-13;287;420;126
2020-05-14;287;422;126
2020-05-15;287;422;127
2020-05-16;287;422;127
2020-05-17;289;422;127
2020-05-18;290;422;127
2020-05-19;290;422;128
2020-05-20;290;422;128
2020-05-21;293;422;129
2020-05-22;293;422;130
2020-05-23;293;422;130
2020-05-24;293;422;130
2020-05-25;294;422;130
2020-05-26;294;422;130
2020-05-27;294;422;130
2020-05-28;294;422;130
2020-05-29;294;422;130
2020-05-30;294;422;130
2020-05-31;294;422;130
2020-06-01;294;422;130
2020-06-02;294;422;130
2020-06-03;294;422;130
2020-06-04;294;422;130
2020-06-05;294;422;130
2020-06-06;294;422;130
2020-06-07;294;422;130
2020-06-08;294;422;130
2020-06-09;294;422;130
2020-06-10;295;422;130
2020-06-11;295;422;130
2020-06-12;295;422;130
2020-06-13;295;422;130
2020-06-14;295;422;130
2020-06-15;295;422;130
2020-06-16;295;423;130
2020-06-17;295;423;130
2020-06-18;295;423;130
2020-06-19;295;423;130
2020-06-20;295;423;130
2020-06-21;295;423;130
2020-06-22;295;424;130
2020-06-23;295;424;130
2020-06-24;295;424;130
2020-06-25;295;424;130
2020-06-26;295;424;130
2020-06-27;295;424;130
2020-06-28;295;424;130
2020-06-29;295;424;131
2020-06-30;295;424;131
2020-07-01;295;424;131
2020-07-02;295;424;131
2020-07-03;295;424;131
2020-07-04;295;424;131
2020-07-05;295;424;131
2020-07-06;295;424;131
2020-07-07;295;424;131
2020-07-08;295;424;133
2020-07-09;295;424;133
2020-07-10;295;424;133
2020-07-11;295;424;133
2020-07-12;295;424;133
2020-07-13;295;424;133
2020-07-14;295;424;133
2020-07-15;295;424;134
2020-07-16;295;424;134
2020-07-17;295;424;134
2020-07-18;295;424;134
2020-07-19;295;424;134
2020-07-20;295;424;135
2020-07-21;295;424;135
2020-07-22;295;424;135
2020-07-23;295;424;135
2020-07-24;295;424;136
2020-07-25;295;424;136
2020-07-26;295;424;136
2020-07-27;295;424;136
2020-07-28;295;424;136
2020-07-29;295;424;136
2020-07-30;295;424;136
2020-07-31;296;425;136
2020-08-01;296;425;136
2020-08-02;296;425;136
2020-08-03;296;425;136
2020-08-04;296;425;137
2020-08-05;296;425;137
2020-08-06;296;425;138
2020-08-07;296;425;138
2020-08-08;296;425;138
2020-08-09;296;425;138
2020-08-10;296;425;139
2020-08-11;296;425;139
2020-08-12;296;425;139
2020-08-13;296;426;139
2020-08-14;296;426;139
2020-08-15;297;427;139
2020-08-16;297;428;139
2020-08-17;297;429;139
2020-08-18;297;430;139
2020-08-19;297;430;139
2020-08-20;297;430;139
2020-08-21;297;430;140
2020-08-22;297;430;140
2020-08-23;297;430;140
2020-08-24;297;430;141
2020-08-25;297;430;141
2020-08-26;297;431;141
2020-08-27;297;432;141
2020-08-28;297;432;141
2020-08-29;297;432;141
2020-08-30;297;432;142
2020-08-31;298;432;142
2020-09-01;298;432;142
2020-09-02;299;434;142
2020-09-03;299;434;142
2020-09-04;300;434;142
2020-09-05;301;434;142
2020-09-06;301;434;142
2020-09-07;302;434;142
2020-09-08;302;434;143
2020-09-09;303;435;143
2020-09-10;303;435;143
2020-09-11;303;436;145
2020-09-12;304;437;145
2020-09-13;304;437;145
2020-09-14;304;437;145
2020-09-15;305;437;145
2020-09-16;305;437;145
2020-09-17;305;;145
2020-09-18;;;145
2020-09-19;;;
